Data,Título,Sem menção,Com menção Dr. Sarrubbo
2020-04-12,33,32.0,1.0
2020-04-19,38,37.0,1.0
2020-04-26,32,29.0,3.0
2020-05-03,30,28.0,2.0
2020-05-10,35,33.0,2.0
2020-05-17,29,27.0,2.0
2020-05-24,24,24.0,0.0
2020-05-31,15,15.0,0.0
2020-06-07,29,25.0,4.0
2020-06-14,34,33.0,1.0
2020-06-21,24,23.0,1.0
2020-06-28,26,24.0,2.0
2020-07-05,23,22.0,1.0
2020-07-12,23,23.0,0.0
2020-07-19,28,27.0,1.0
2020-07-26,21,20.0,1.0
2020-08-02,30,26.0,4.0
2020-08-09,17,17.0,0.0
2020-08-16,26,26.0,0.0
2020-08-23,21,20.0,1.0
2020-08-30,16,15.0,1.0
2020-09-06,18,16.0,2.0
2020-09-13,12,11.0,1.0
2020-09-20,16,14.0,2.0
2020-09-27,26,24.0,2.0
2020-10-04,23,23.0,0.0
2020-10-11,16,15.0,1.0
2020-10-18,13,11.0,2.0
2020-10-25,17,14.0,3.0
2020-11-01,19,17.0,2.0
2020-11-08,17,16.0,1.0
2020-11-15,20,20.0,0.0
2020-11-22,22,19.0,3.0
2020-11-29,19,19.0,0.0
2020-12-06,34,33.0,1.0
2020-12-13,11,10.0,1.0
2020-12-20,55,54.0,1.0
2020-12-27,7,7.0,0.0
2021-01-03,4,4.0,0.0
2021-01-10,5,5.0,0.0
2021-01-17,14,14.0,0.0
2021-01-24,15,14.0,1.0
2021-01-31,19,19.0,0.0
2021-02-07,23,22.0,1.0
2021-02-14,27,25.0,2.0
2021-02-21,14,12.0,2.0
2021-02-28,24,24.0,0.0
2021-03-07,24,21.0,3.0
2021-03-14,32,26.0,6.0
2021-03-21,22,21.0,1.0
2021-03-28,26,24.0,2.0
2021-04-04,19,18.0,1.0
2021-04-11,19,15.0,4.0
2021-04-18,36,33.0,3.0
2021-04-25,17,16.0,1.0
2021-05-02,20,18.0,2.0
2021-05-09,23,21.0,2.0
2021-05-16,32,29.0,3.0
2021-05-23,22,20.0,2.0
2021-05-30,26,23.0,3.0
2021-06-06,13,13.0,0.0
2021-06-13,19,19.0,0.0
2021-06-20,19,19.0,0.0
2021-06-27,22,22.0,0.0
2021-07-04,12,11.0,1.0
2021-07-11,16,15.0,1.0
2021-07-18,7,5.0,2.0
2021-07-25,28,25.0,3.0
2021-08-01,23,20.0,3.0
2021-08-08,20,19.0,1.0
2021-08-15,23,23.0,0.0
2021-08-22,21,21.0,0.0
2021-08-29,26,23.0,3.0
2021-09-05,23,20.0,3.0
2021-09-12,17,16.0,1.0
2021-09-19,13,11.0,2.0
2021-09-26,17,15.0,2.0
2021-10-03,19,19.0,0.0
2021-10-10,22,19.0,3.0
2021-10-17,14,10.0,4.0
2021-10-24,22,18.0,4.0
2021-10-31,17,16.0,1.0
2021-11-07,14,14.0,0.0
2021-11-14,17,17.0,0.0
2021-11-21,18,18.0,0.0
2021-11-28,31,28.0,3.0
2021-12-05,22,21.0,1.0
2021-12-12,24,24.0,0.0
2021-12-19,31,28.0,3.0
2021-12-26,1,1.0,0.0
2022-01-02,1,1.0,0.0
2022-01-09,0,0.0,0.0
2022-01-16,14,13.0,1.0
2022-01-23,15,13.0,2.0
2022-01-30,14,12.0,2.0
2022-02-06,27,25.0,2.0
2022-02-13,35,34.0,1.0
2022-02-20,28,25.0,3.0
2022-02-27,20,17.0,3.0
2022-03-06,6,5.0,1.0
2022-03-13,13,11.0,2.0
2022-03-20,18,18.0,0.0
2022-03-27,23,23.0,0.0
2022-04-03,21,21.0,0.0
2022-04-10,26,25.0,1.0
2022-04-17,19,16.0,3.0
2022-04-24,13,10.0,3.0
2022-05-01,6,6.0,0.0
2022-05-08,24,21.0,3.0
